,59.57544,1.02224439865078E8
4.777111,52.994605,48.217494
4.566793,54.314867,49.748074
4.896193,54.286526,49.390333
3.425636,52.487099,49.061463
6.237636,52.766032,46.528396
3.74068,52.047164,48.306484
4.431194,51.784748,47.353554
3.487737,52.08544,48.597703
3.691274,52.0084,48.317126
4.966195,53.20453,48.238335
5.322339,52.862175,47.539836
4.275081,51.390577,47.115496
3.756021,52.584444,48.828423
4.526163,53.003244,48.477081
7.064948,52.714804,45.649856
5.373576,57.093245,51.719669
6.211659,53.511724,47.300065
4.028989,52.088979,48.05999
3.875776,51.944785,48.069009
4.480714,51.446798,46.966084
4.48103,53.06888,48.58785
3.470122,51.412381,47.942259
3.806798,51.738893,47.932095
3.617309,53.369545,49.752236
3.755348,52.038977,48.283629
5.348231,51.910935,46.562704
4.724636,52.672809,47.948173
4.953117,52.981775,48.028658
5.628692,53.668063,48.039371
5.262616,53.861117,48.598501
3.668791,52.254069,48.585278
3.56825,53.066081,49.497831
4.069832,53.220509,49.150677
3.845359,52.450009,48.60465
4.326271,51.370217,47.043946
3.300303,51.591698,48.291395
3.767601,52.04943,48.281829
4.329756,52.551667,48.221911
3.806125,51.908225,48.1021
3.517061,52.614972,49.097911
4.767389,57.090326,52.322937
6.615097,53.590521,46.975424
4.39925,52.57943,48.18018
4.02923,52.365533,48.336303
5.309081,53.144362,47.835281
3.704294,52.908685,49.204391
3.669831,51.471043,47.801212
3.773658,52.76528,48.991622
3.520293,51.796577,48.276284
3.747232,51.669758,47.922526
3.596571,51.666947,48.070376
3.340034,52.558375,49.218341
2.821933,51.215513,48.39358
3.801356,52.024906,48.22355
8.426375,54.959006,46.532631
4.786008,55.269092,50.483084
3.737115,52.379277,48.642162
3.787831,52.120817,48.332986
3.653167,51.72702,48.073853
3.638472,53.057478,49.419006
4.300491,52.107729,47.807238
4.254077,53.35764,49.103563
3.648865,52.827434,49.178569
4.4344,52.437011,48.002611
3.743936,51.392005,47.648069
4.728578,51.320808,46.59223
3.837713,53.240378,49.402665
5.5996,53.846534,48.246934
6.368916,52.153164,45.784248
5.706805,52.01742,46.310615
3.690989,55.717009,52.02602
4.335274,51.785375,47.450101
4.78927,51.638448,46.849178
3.437617,52.691793,49.254176
4.119385,51.840893,47.721508
3.311568,52.792928,49.48136
4.518353,52.02117,47.502817
3.426948,51.449531,48.022583
4.266427,51.367812,47.101385
4.587895,52.085933,47.498038
5.113455,53.967746,48.854291
4.79231,53.641204,48.848894
4.700739,52.219303,47.518564
4.975913,52.817633,47.84172
4.558415,52.114442,47.556027
3.281788,51.826045,48.544257
5.283981,52.072068,46.788087
3.680943,52.7091,49.028157
3.861488,51.494397,47.632909
5.523349,52.219231,46.695882
3.137393,51.633183,48.49579
3.872681,53.077579,49.204898
3.667878,52.184238,48.51636
3.544065,53.264895,49.72083
12.66839,58.421386,45.752996
4.909246,56.472501,51.563255
3.675085,52.07361,48.398525
3.441765,53.085459,49.643694
4.979967,52.943429,47.963462
8.623665,51.494654,42.870989
4.049874,52.495519,48.445645
3.556095,52.580523,49.024428
4.313377,51.799829,47.486452
3.647366,51.655659,48.008293
8.175055,52.16331,43.988255
10.824806,51.908898,41.084092
3.413098,51.520897,48.107799
5.615877,53.361456,47.745579
6.278,53.095407,46.817407
8.618823,55.947848,47.329025
4.495067,54.370739,49.875672
4.073385,52.104057,48.030672
3.492501,53.074952,49.582451
3.688608,53.27684,49.588232
3.593781,52.687989,49.094208
3.166578,52.73768,49.571102
4.194752,52.188215,47.993463
4.535183,53.517006,48.981823
4.224537,52.629238,48.404701
7.282507,52.984323,45.701816
5.015562,52.201775,47.186213
5.730153,54.447657,48.717504
6.111958,53.389517,47.277559
6.881941,52.940602,46.058661
5.052166,53.471422,48.419256
3.642609,52.518554,48.875945
4.263807,51.773339,47.509532
4.585388,52.142482,47.557094
4.294658,52.06151,47.766852
4.009867,52.180807,48.17094
3.882224,52.803035,48.920811
4.045846,52.179652,48.133806
4.330905,51.414779,47.083874
4.366077,52.024928,47.658851
5.098726,57.035081,51.936355
4.240076,57.578447,53.338371
4.205193,52.162713,47.95752
3.734122,52.185817,48.451695
4.485044,52.120268,47.635224
3.340977,52.872941,49.531964
3.377547,53.905224,50.527677
3.843712,51.82812,47.984408
3.537621,53.492162,49.954541
7.532987,53.490089,45.957102
6.45675,54.312023,47.855273
5.494977,57.110467,51.61549
4.452177,52.647043,48.194866
3.974862,51.950126,47.975264
4.56135,51.691477,47.130127
5.10523,52.98578,47.88055
3.232012,52.216598,48.984586
4.029587,51.783885,47.754298
5.225457,53.702563,48.477106
4.124375,51.57098,47.446605
5.237412,52.227352,46.98994
3.78454,52.878556,49.094016
4.082678,52.246619,48.163941
4.03011,53.430052,49.399942
6.978956,54.80255,47.823594
6.549116,55.01985,48.470734
4.959179,53.093309,48.13413
3.370791,52.246132,48.875341
